,No,Operator,Product,Description,Normal Price,Price,Discount,Kuota,Durasi
0,1,xl,xtra hotrod special,kuota utama 500mb + kuota area hingga 3.5gb + youtube 24jam 1.5gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,11941,11200,741,2gb,7hr
1,2,xl,xtra hotrod special,kuota utama 1gb + kuota area hingga 6gb + youtube 24jam 2gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,14889,14000,889,3gb,7hr
2,3,axis,bronet mini,kuota internet 1.5gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,14850,13973,877,1.5gb,7hr
3,4,telkomsel,telkomsel data flash,"kuota utama 1gb, masa aktif 30 hari",24280,23550,730,1gb,30hr
4,5,axis,bronet mini,kuota internet 2gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,18849,16357,2492,2gb,7hr
5,6,xl,xtra hotrod special,kuota utama 1.5gb + kuota area hingga 8.5gb + youtube 24jam 3gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,19852,18725,1127,4.5gb,7hr
6,7,axis,aigo bronet mini,"kuota utama 3gb, kuota lokal mulai 2gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 15hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",22900,21050,1850,3gb,15hr
7,8,axis,paket internet axis bronet,kuota 2gb (2g/3g/4g) 24jam. masa aktif 60 hari.,29400,26875,2525,2gb,60hr
8,9,axis,bronet mini,kuota internet 5gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,29900,26300,3600,5gb,7hr
9,10,axis,bronet mini,kuota internet 8gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,34900,32450,2450,8gb,7hr
10,11,telkomsel,telkomsel data flash,"2gb all network, bebas zona, masa aktif 30 hari.",49980,47250,2730,2gb,0
11,12,axis,paket internet axis bronet,kuota 3gb (2g/3g/4g) 24jam. masa aktif 60 hari.,36999,33850,3149,3gb,0
12,13,telkomsel,telkomsel data flash,"3gb all network, bebas zona, masa aktif 30 hari.",57280,54500,2780,3gb,0
13,14,xl,xtra combo flex basic,5gb kuota utama + kuota area hingga 5gb + 5min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,45000,41225,3775,4gb,0
14,15,telkomsel,telkomsel data flash,"4gb all network, bebas zona, masa aktif 30 hari.",76680,69500,7180,4gb,0
15,16,xl,akrab,10gb kuota bersama + bonus kuota pribadi hingga 9gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,62000,60475,1525,28gb,30hr
16,17,xl,xtra combo flex plus,10gb kuota utama + kuota area hingga 14gb + 20min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,65000,61750,3250,10gb,0
17,18,indosat,freedom internet,"• kuota utama 18gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 18gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yang masih aktif",65900,62700,3200,18gb,0
18,19,indosat,freedom internet,"• kuota utama 28gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 28gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yang masih aktif",87400,83600,3800,28gb,0
19,20,indosat,freedom u,"• kuota utama 10gb + kuota youtube, netflix, instagram, zoom & apps 35gb. • kelebihan penggunaan apps akan menggunakan kuota utama. • pulsa safe hingga 64kbps berlaku jika kuota utama habis. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.",105500,101650,3850,45gb,30hr
20,21,indosat,freedom internet,"• kuota utama 44gb, masa aktif 30 hari • bonus tambahan kuota zona hingga 44gb, jika registrasi paket di zona kuota plus freedom internet. info im3.do/kuotaplusec • baru! nelpon sepuasnya ke sesama im3 & tri, suara lebih jernih didukung jaringan volte • pembelian paket akan menggantikan paket yang masih aktif",109750,104500,5250,44gb,0
21,22,xl,xtra combo flex ultra,35gb kuota utama + kuota area hingga 40gb + 40min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,135000,120150,14850,35gb,0
22,23,xl,xtra combo flex supreme,48gb kuota utama + kuota area hingga 67gb + 60min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,185000,164650,20350,48gb,0
23,24,xl,xtra edukasi,"kuota utama 2gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, kuota dapat digunakan untuk mengakses rumah belajar kemendikbud, spada indonesia kemendikbud, ruang guru, zenius, sekolahmu, dan website lembaga pendidikan dan universitas.daftar website dan aplikasi lengkap cek di www.xl.co.id, masa aktif 1 hari",1938,1938,62,2gb,1hr
24,25,xl,xtra edukasi,"kuota utama 5gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, kuota dapat digunakan untuk mengakses rumah belajar kemendikbud, spada indonesia kemendikbud, ruang guru, zenius, sekolahmu, dan website lembaga pendidikan dan universitas.daftar website dan aplikasi lengkap cek di www.xl.co.id, masa aktif 3 hari",3435,3435,65,5gb,3hr
25,26,axis,bronet 24 jam," main kuota 1gb 1 hari selama 24jam di semua jaringan 2g/3g/4g,  main kuota 1gb 1 hari selama 24jam di semua jaringan 2g/3g/4g, cek lokal kuota di website axis.co.id",3850,3850,0,1gb,0
26,27,xl,paket blue,kuota utama 1 gb masa aktif 2 hari,4900,4900,0,1gb,2hr
27,28,xl,xl pure,"internet 500mb, masa aktif 30 hari.",9250,9250,0,500mb,30hr
28,29,telkomsel,paket bicara telkomsel 5.000,80 menit onnet + 20 menit all operator. masa aktif 1 hari. kuota zona berlaku.,7750,7750,0,,0
29,30,xl,xtra edukasi,"kuota utama 15gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, kuota dapat digunakan untuk mengakses rumah belajar kemendikbud, spada indonesia kemendikbud, ruang guru, zenius, sekolahmu, dan website lembaga pendidikan dan universitas.daftar website dan aplikasi lengkap cek di www.xl.co.id, masa aktif 7 hari",8300,8300,700,15gb,7hr
30,31,xl,xl pure,"internet 800mb, masa aktif 30 hari.",16500,16500,0,800mb,30hr
31,32,axis,axis data,"data 500mb, masa aktif 30 hari",10000,10000,0,500mb,30hr
32,33,axis,aigo bronet mini,"kuota utama 1gb, kuota lokal mulai 0,5gb dan bonus kuota video/sosmed/games di area tertentu, masa aktif paket 5hari. cek kuota utama/lokal/sisa kuota di axisnet. unduh axisnet dari google play atau apple store. bronet mini tidak berlaku perpanjangan",10400,10400,0,1gb,5hr
33,34,xl,paket blue,kuota utama 3 gb masa aktif 2 hari,9850,9850,0,3gb,2hr
34,35,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 1.25 gb, kuota malam 1.75 gb (01.00-04.59), chat 1gb, free on net call, masa berlaku 7 hari",10000,10000,0,4gb,0
35,36,xl,xl pure,"internet 1gb, masa aktif 30 hari.",18000,18000,0,1gb,30hr
36,37,axis,bronet mini,kuota internet 1gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,13900,13900,0,1gb,7hr
37,38,xl,xtra on,"kuota utama 1gb,  dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, masa aktif unlimite",13940,13940,1060,1gb,0
38,39,indosat,freedom internet,"""• kuota utama 5gb, masa aktif 5 hari.  • pembelian paket akan menggantikan paket yg masih aktif.""",14900,14900,0,5gb/5hr,5gb/5hr
39,40,axis,axis data,"data 800mb, masa aktif 30 hari",17500,17500,0,800mb,30hr
40,41,axis,axis data,"data 1gb, masa aktif 30 hari",18500,18500,0,1gb,30hr
41,42,tri,tri happy,"5gb (semua jaringan 24 jam) masa aktif 7 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234.",19500,19500,0,5gb,0
42,43,tri,tri happy,"5gb (semua jaringan 24 jam) masa aktif 7 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop mingguan kirim ke 234.",25000,25000,0,5gb,0
43,44,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 2 gb, kuota malam 3 gb (01.00-04.59), chat chat 1gb, free on net call, masa berlaku 30 hari",19700,19700,0,6gb,0
44,45,indosat,freedom internet,"""• kuota utama 7gb, masa aktif 7 hari.  • pembelian paket akan menggantikan paket yg masih aktif.""",19900,19900,0,7gb/7hr,7gb/7hr
45,46,xl,xl pure,"internet 2gb, masa aktif 30 hari.",33250,33250,0,2gb,30hr
46,47,smartfren,smart data unlimited 4g,"unlimited 1gb/day fup*, masa aktif 7 hari",22500,22500,0,,7hr
47,48,xl,xtra on,"kuota utama 2gb,  dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, masa aktif unlimited",22750,22750,2250,2gb,0
48,49,axis,bronet mini,kuota internet 3gb berlaku di semua jaringan 2g/3g/4g (national wide) dari jam 00-23.59 untuk 7 hari,24900,24900,0,3gb,7hr
49,50,xl,xtra hotrod special,kuota utama 2gb + kuota area hingga 12.5gb + youtube 24jam 4.5gb. masa aktif 7 hari. tidak berlaku perpanjangan otomatis.,25000,25000,0,6.5gb,7hr
50,51,xl,xl pure,"internet 3gb, masa aktif 30 hari.",52000,52000,0,3gb,30hr
51,52,telkomsel,telkomsel data flash," kuota utama 2gb, masa aktif 7 hari",49980,49980,0,2gb,hr
52,53,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 4 gb, kuota malam 4 gb (01.00-04.59), chat 2gb, free on net call, masa berlaku 30 hari",30000,30000,0,10gb,0
53,54,axis,axis data,"data 2gb, masa aktif 30 hari",32050,32050,0,2gb,30hr
54,55,axis,axis+ bronet 24jam,"paket axis+ 24jam 1gb 30hr, 6bln kuota utama 1gb di 2g/3g/4g & bonus 2gb sosmed/ chat perbulan selama 6 bulan",36500,36500,3500,1gb,0
55,56,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 6 gb, kuota malam 8 gb (01.00-04.59), chat 2 gb, free on net call, masa berlaku 30 hari",38900,38900,0,16gb,0
56,57,smartfren,super 4g unlimited 40k,"unlimited 4g data berlaku 24 jam, fup 1gb per hari, masa berlaku 14 hari (non mifi)",40500,40500,0,,0
57,58,tri,aon,"kuota alwayson = 9gb, aktif selamanya (mengikuti masa aktif kartu). menambah masa aktif kartu 90 hari. maksimal masa aktif kartu 365 hari.",42500,42500,0,9gb,0
58,59,smartfren,unlimited nonstop 45rb,"kuota utama 12gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",44500,44500,0,,0
59,60,axis,axis data,"data 3gb, masa aktif 30 hari",48070,48070,0,3gb,30hr
60,61,axis,paket internet axis bronet,kuota 5gb (2g/3g/4g) 24jam. masa aktif 60 hari.,54900,54900,0,5gb,0
61,62,tri,happy,"""kuota 14gb (semua jaringan 24 jam), masa aktif 30 hari. bonus kuota tiktok 5gb 5 hari (1gb/hari).  pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop bulanan kirim ke 234.""",53500,53500,0,14gb,0
62,63,telkomsel,paket internet bulanan omg! 55k,"kuota 3,3 gb sd 7 gb + 1 gb omg!",56500,56500,0,,0
63,64,xl,xtra combo,"5gb kuota utama + 10gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 20 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",59000,59000,0,5gb+10gb,30hr
64,65,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 10 gb, kuota malam 20 gb (01.00-04.59), free on net call masa berlaku 30 hari",58500,58500,0,30gb,0
65,66,xl,xl data,"kuota 4gb, 24 jam. masa aktif 30 hari",60750,60750,0,4gb,0
66,67,smartfren,super 4g unlimited 60k,"unlimited 4g data berlaku 24 jam, fup 700mb per hari, masa berlaku 28 hari (non mifi)",62000,62000,0,,0
67,68,axis,axis data,"data 4gb, masa aktif 30 hari",63320,63320,0,4gb,30hr
68,69,xl,xtra combo vip,"5gb kuota utama + 10gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 20 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",69000,69000,0,5gb+10gb,30hr
69,70,axis,bronet 24jam,"paket internet axis 8gb 24jam all network + 2gb games (freefire/mobile legend/aov/vainglory/l2r/moderncombats/hago/aspalt9), selama 60 hari",69500,69500,6400,8gb,0
70,71,axis,bronet 24jam,"paket internet axis 8gb 24jam all network, 60hr + 2gb sosmed 30hr (facebook/instagram/twitter/tiktok)",67500,67500,8400,8gb,0
71,72,smartfren,unlimited nonstop 70rb,"kuota utama 30gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",69500,69500,0,,0
72,73,axis,axis+ bronet 24jam,"paket axis+ 24jam 2gb 30hr, 6bln kuota utama 2gb di 2g/3g/4g & bonus 5gb sosmed/ chat perbulan selama 6 bulan",71000,71000,4000,2gb,0
73,74,axis,axis+ bronet 24jam,"paket axis+ 24jam 1gb 30hr, 12bln kuota utama 1gb di 2g/3g/4g & bonus 2gb sosmed/ chat perbulan selama 12 bulan",77000,77000,8000,1gb,0
74,75,xl,xl data,"kuota 5gb, 24 jam. masa aktif 30 hari",79500,79500,0,5gb,0
75,76,axis,axis data,"data 5gb, masa aktif 30 hari",79570,79570,0,5gb,30hr
76,77,axis,bronet 24jam,"paket internet axis 10gb 24jam all network + 2gb games (freefire/mobile legend/aov/vainglory/l2r/moderncombats/hago/aspalt9), selama 60 hari",79700,79700,8200,10gb,0
77,78,axis,bronet 24jam,"paket internet axis 10gb 24jam all network, 60hr + 2gb sosmed 30hr (facebook/instagram/twitter/tiktok)",79500,79500,8400,10gb,0
78,79,smartfren,super 4g unlimited 80k,unlimited 1gb+1gb /day fup. active period 28 days.,81500,81500,0,,0
79,80,xl,xtra combo,"10gb kuota utama + 20gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 30 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",89000,89000,0,10gb+20gb,30hr
80,81,axis,axis+ bronet 24jam,"paket axis+ 24jam 3gb 30hr, 6bln kuota utama 3gb di 2g/3g/4g & bonus 7gb sosmed/ chat perbulan selama 6 bulan",87000,87000,8000,3gb,0
81,82,axis,bronet 24jam,"paket internet axis 12gb 24jam all network + 2gb games (freefire/mobile legend/aov/vainglory/l2r/moderncombats/hago/aspalt9), selama 60 hari",90000,90000,7900,12gb,0
82,83,axis,bronet 24jam,"paket internet axis 12gb 24jam all network, 60hr + 2gb sosmed 30hr (facebook/instagram/twitter/tiktok)",89000,89000,8900,12gb,0
83,84,xl,xtra combo flex super,20gb kuota utama + kuota area hingga 22gb + 30min nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,95000,95000,0,20gb,0
84,85,xl,xtra combo vip,"10gb kuota utama + 20gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 30 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",99000,99000,0,10gb+20gb,30hr
85,86,indosat,freedom u,"• kuota utama 7gb + kuota youtube, netflix, instagram, zoom & apps 28gb. • kelebihan penggunaan apps akan menggunakan kuota utama. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.",94900,94900,0,35gb,30hr
86,87,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 20 gb, kuota malam 40 gb (01.00-04.59), free on net call    & smartmusic subscription, masa berlaku 30 hari",98000,98000,0,60gb,0
87,88,smartfren,unlimited nonstop 100rb,"kuota utama 45gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",97500,97500,0,,0
88,89,xl,internet umroh & haji,1gb kuota utama untuk di indonesia + 1gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,99000,99000,0,1gb+1gb,45hr
89,90,xl,nelpon umroh & haji,50 min nelpon ke indonesia / arab saudi dan terima telepon + 10 sms. masa aktif 60 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,99000,99000,0,,60hr
90,91,smartfren,super 4g unlimited bulanan 100k,unlimited 1.5gb+1.5gb /day fup. active period 28 days.,99900,99900,0,,0
91,92,indosat,freedom internet,kuota utama 42gb berlaku 30 hari. rp100rb/30hr.,100000,100000,0,42gb,30hr
92,93,indosat,freedom combo,• kuota utama 30gb+kuota malam 10gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 30 menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,107280,107280,0,40gb,30hr
93,94,indosat,freedom combo,• kuota utama 30gb+kuota malam 10gb. • baru! kini dgn nelpon sepuasnya ke sesama im3 & tri+nelp ke oprtr lain 30 menit. • masa aktif 30 hari. • pembelian paket akan menggantikan paket yg masih aktif.,107280,107280,0,40gb,30hr
94,95,indosat,freedom internet sensasi,"•  kuota utama 50gb, masa aktif 30 hari,•  nelpon sepuasnya ke sesama im3 & tri,• tambahan eksklusif akses fifa worldcup qatar 2022 di aplikasi vidio. berlaku sd 31 des 2022.• pembelian paket akan menggantikan paket yang masih aktif",107500,107500,0,50gb,30hr
95,96,xl,akrab,25gb kuota bersama + bonus kuota pribadi hingga 19gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,125000,125000,0,63gb,30hr
96,97,smartfren,unlimited nonstop 125rb,"kuota utama 60gb unlimited,masa aktif 30 hari,gratis akses ke aplikasi tertentu,gratis nelpon ke sesama smartfren",124500,124500,0,,0
97,98,xl,xl data,"kuota 8gb, 24 jam. masa aktif 30 hari",123500,123500,0,8gb,0
98,99,axis,axis data,"data 8gb, masa aktif 30 hari",123500,123500,0,8gb,30hr
99,100,xl,xtra combo,"15gb kuota utama + 30gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 40 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",129000,129000,0,15gb+30gb,30hr
100,101,xl,xtra combo vip,"15gb kuota utama + 30gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 40 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",139000,139000,0,15gb+30gb,30hr
101,102,indosat,freedom internet sensasi,"freedom internet sensasi 100gb/ 30 hari promo freedom internet sensasi  . kuota utama 100gb, masa aktif 30 hari . tambahan eksklusif akses fifa worldcup qatar 2022 di aplikasi vidio. nelpon sepuasnya ke sesama im3 & tri . pembelian paket akan menggantikan paket yang masih aktif",136000,136000,0,100gb,30hr
102,103,telkomsel, paket bicara semua operator 30hr  plus, 9500menit onnet + 200menit allopr ,140750,140750,0,,0
103,104,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 30 gb, kuota malam 60gb (01.00-04.59), free on net call & smartmusic subscription, masa berlaku 30 hari",146500,146500,0,90gb,0
104,105,smartfren,super 4g unlimited bulanan 150k,"unlimited 1.75gb/day fup, 28 hari masa aktif",149000,149000,0,,0
105,106,xl,xtra combo,"20gb kuota utama + 40gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 60 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",179000,179000,0,20gb+40gb,30hr
106,107,xl,xtra combo vip,"20gb kuota utama + 40gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 60 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",189000,189000,0,20gb+40gb,30hr
107,108,xl,internet umroh & haji,2gb kuota utama untuk di indonesia + 2gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,189000,189000,0,2gb+2gb,45hr
108,109,smartfren,smartfren internet volume,"untuk smartphone & mifi, kuota 24 jam 40 gb, kuota malam 80gb (01.00-04.59), free on net call & smartmusic subscription, masa berlaku 30 hari",195000,195000,0,120gb,0
109,110,xl,akrab, 45gb kuota bersama + bonus kuota pribadi hingga 33gb per anggota  + unlimited kuota aplikai + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,205000,205000,0,144gb,30hr
110,111,smartfren,super 4g unlimited bulanan 200k,"unlimited 2gb/day fup, 28 hari masa aktif",199000,199000,0,,0
111,112,xl,xtra combo,"35gb kuota utama + 70gb kuota youtube (00:24 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 90 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota (max. 1gb) dapat digunakan di bulan berikutnya.",239000,239000,0,35gb+70gb,30hr
112,113,xl,xtra combo vip,"35gb kuota utama + 70gb kuota youtube (00:00 - 24:00) + unlimited kuota youtube (01:00 - 06:00) + 90 menit nelpon ke semua operator. masa aktif 30 hari, sisa kuota dapat digunakan di bulan berikutnya.",249000,249000,0,35gb+70gb,30hr
113,114,xl,xtra combo flex max,80gb kuota utama + kuota area hingga 105gb + 90mn nelpon ke semua operator + ambil bonus kuota utama/xtra unlimited turbo/vidio platinum di myxl. masa aktif paket 30hr. info lanjut di xl.co.id/xcfm,245000,245000,0,80gb,0
114,115,xl,akrab,80gb kuota bersama + bonus kuota pribadi hingga 45gb per anggota + unlimited kuota aplikasi + unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,320000,320000,0,260gb,30hr
115,116,axis,combo mabrur & haji,"""- kuota nelpon dapat digunakan untuk melakukan panggilan ke nomor indonesia (axis, xl & operator lain) dan nomor saudi arabi, dan juga menerima panggilan telpon - kuota sms dapat digunakan untuk seluruh operator (baik operator di indonesia maupun di luar negeri) - untuk data, setelah melewati fup maka kecepatan akan turun menjadi 64kbps""",399000,399000,0,,20hr
116,117,xl,internet umroh & haji,5gb kuota utama untuk di indonesia + 5gb kuota utama untuk di arab saudi. masa aktif 45 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,469000,469000,0,5gb+5gb,45hr
117,118,xl,akrab,160gb kuota bersama + bonus kuota pribadi hingga 75gb per anggota  + unlimited kuota aplikasi+ unlimited nelpon & sms ke xl/axis. cek kuota pribadi di areamu xl.co.id/akrab,515000,515000,0,460gb,30hr
118,119,xl,internet umroh & haji,25gb kuota utama untuk di indonesia + 25gb kuota utama untuk di arab saudi. masa aktif 60 hari. syarat & ketentuan lebih lengkap di xl.co.id/umrohhaji,999000,999000,0,25gb+25gb,60hr
119,120,xl,xtra conference,"kuota utama 2gb, dapat digunakan di jaringan 2g/3g/4g dari jam 00.00-24.00 wib, dapat digunakan untuk apps microsoft teams, zoom, google meet, google hangout, google classroom, masa aktif 1 hari",2938,2938,62,2gb,1hr
120,121,tri,happy,"""kuota 1.5gb (semua jaringan 24 jam), masa aktif 1 hari. pembelian lebih dari satu kali atau paket happy lainnya, sisa kuota akan reset dan tergantikan oleh paket happy yang terbaru. berhenti berlangganan ketik stop harian kirim ke 234""",3900,3900,0,1.5gb,1hr
